Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble,Price_Change,Price_Range,Returns,SMA_5,SMA_20,Volatility,Close_lag_1,Volume_lag_1
2002-01-29,RELIANCE,EQ,314.45,316.0,318.45,313.9,317.5,316.6,315.96,1500965,47425183175000.0,482910.0,0.3217,0.6000000000000227,4.550000000000011,0.006837335029416636,314.81000000000006,316.84000000000003,7.717625077839722,314.45,2349800.0
2002-01-30,RELIANCE,EQ,316.6,314.9,318.0,309.2,315.0,314.05,312.91,1422524,44512856115000.0,419752.0,0.2951,-0.8499999999999659,8.800000000000011,-0.008054327226784674,314.69,317.36250000000007,7.103369752596356,316.6,1500965.0
2002-01-31,RELIANCE,EQ,314.05,321.0,321.0,297.6,298.5,300.1,307.05,6775563,208040429805000.0,1855958.0,0.2739,-20.899999999999977,23.399999999999977,-0.04441967839515992,312.0,317.54499999999996,6.564235234246397,314.05,1422524.0
2002-02-01,RELIANCE,EQ,300.1,300.65,305.4,298.1,299.3,300.65,302.23,4465761,134968743020000.0,1508107.0,0.3377,0.0,7.2999999999999545,0.0018327224258578578,309.17,316.52500000000003,7.508039550690448,300.1,6775563.0
2002-02-04,RELIANCE,EQ,300.65,306.5,306.5,296.65,303.5,302.8,300.52,1917274,57618211720000.01,478468.0,0.2496,-3.6999999999999886,9.850000000000023,0.007151172459670896,306.84000000000003,315.66499999999996,8.05425843559562,300.65,4465761.0
2002-02-05,RELIANCE,EQ,302.8,298.0,302.0,292.1,293.55,293.9,296.45,3275195,97092208555000.0,1321473.0,0.4035,-4.100000000000023,9.899999999999977,-0.029392338177014588,302.3,314.46750000000003,9.383107371620701,302.8,1917274.0
2002-02-06,RELIANCE,EQ,293.9,295.0,297.5,290.35,292.4,291.7,292.72,4391361,128543777995000.0,2213235.0,0.504,-3.3000000000000114,7.149999999999977,-0.007485539299081245,297.83,312.635,10.081994111442015,293.9,3275195.0
2002-02-07,RELIANCE,EQ,291.7,292.0,317.9,291.95,304.9,307.95,307.89,8115843,249879259655000.03,2047602.0,0.2523,15.949999999999989,25.94999999999999,0.055707919094960534,299.4,311.8,9.719567891629405,291.7,4391361.0
2002-02-08,RELIANCE,EQ,307.95,308.0,314.5,306.2,311.0,311.2,310.66,4273563,132763597305000.0,1383736.0,0.3238,3.1999999999999886,8.300000000000011,0.010553661308654094,301.51,311.02,9.055739674517179,307.95,8115843.0
2002-02-11,RELIANCE,EQ,311.2,314.0,317.0,307.1,308.5,308.6,311.3,2429376,75625561955000.0,1130338.0,0.4653,-5.399999999999977,9.899999999999977,-0.00835475578406164,302.66999999999996,310.165,8.37871834188405,311.2,4273563.0
2002-02-12,RELIANCE,EQ,308.6,310.0,314.5,307.7,309.6,309.2,310.88,2890325,89853179260000.0,1468362.0,0.508,-0.8000000000000114,6.800000000000011,0.0019442644199609838,305.72999999999996,309.4875,7.837911829186245,308.6,2429376.0
2002-02-13,RELIANCE,EQ,309.2,310.0,313.0,309.25,310.0,310.0,311.26,3385204,105367949835000.0,1962158.0,0.5796,0.0,3.75,0.002587322121604174,309.39,308.975,7.421173477925571,309.2,2890325.0
2002-02-14,RELIANCE,EQ,310.0,312.4,316.4,310.1,311.0,311.55,312.29,2006829,62671408665000.0,974376.0,0.4855,-0.8499999999999659,6.2999999999999545,0.0050000000000001155,310.11,308.6175,7.092996453136196,310.0,3385204.0
2002-02-15,RELIANCE,EQ,311.55,313.0,319.8,311.15,315.0,315.6,315.8,4975464,157126393240000.0,1612251.0,0.324,2.6000000000000227,8.650000000000034,0.012999518536350507,310.99,308.8175,7.2364624063064795,311.55,2006829.0
2002-02-18,RELIANCE,EQ,315.6,318.0,321.8,316.3,317.7,318.75,319.01,3554275,113384290284999.98,1332143.0,0.3747999999999999,0.75,5.5,0.009980988593155882,313.02000000000004,309.13500000000005,7.535060157619162,315.6,4975464.0
2002-02-19,RELIANCE,EQ,318.75,320.2,323.0,318.5,320.0,320.85,320.36,2857535,91543031005000.0,1098464.0,0.3843999999999999,0.6500000000000341,4.5,0.0065882352941177835,315.35,309.5475,7.949172002561542,318.75,3554275.0
2002-02-20,RELIANCE,EQ,320.85,317.5,318.45,313.15,317.85,317.05,316.49,1847756,58480181529999.99,1098464.0,0.3843999999999999,-0.44999999999998863,5.300000000000011,-0.0118435405952938,316.76000000000005,309.6675,8.047756715873517,320.85,2857535.0
2002-02-21,RELIANCE,EQ,317.05,318.4,321.0,312.5,313.85,314.4,316.63,1412393,44721183690000.0,572657.0,0.4054999999999999,-4.0,8.5,-0.008358303106765552,317.33000000000004,309.71,8.071548472061272,317.05,1847756.0
2002-02-22,RELIANCE,EQ,314.4,313.0,315.35,312.6,314.55,314.9,314.31,833250,26189675050000.0,291260.0,0.3495,1.8999999999999773,2.75,0.0015903307888041063,317.18999999999994,309.71500000000003,8.074897750696477,314.4,1412393.0
2002-02-25,RELIANCE,EQ,314.9,315.2,316.75,313.0,315.15,314.7,315.06,864010,27221391460000.004,383949.0,0.4443999999999999,-0.5,3.75,-0.0006351222610352369,316.38,309.7275,8.082802975908848,314.9,833250.0
2002-02-26,RELIANCE,EQ,314.7,317.4,324.0,315.6,320.5,321.35,319.9,2888459,92402628055000.0,949155.0,0.3286,3.9500000000000455,8.399999999999977,0.021131236097871042,316.48,309.96500000000003,8.36038748787166,314.7,864010.0
2002-02-27,RELIANCE,EQ,321.35,324.0,330.25,318.25,324.65,325.75,325.78,7214216,235027109790000.0,1921356.0,0.2663,1.75,12.0,0.013692235879881665,318.21999999999997,310.55,9.042763899790883,321.35,2888459.0
2002-02-28,RELIANCE,EQ,325.75,326.8,329.35,305.05,307.5,307.85,317.37,5975319,189638628250000.0,1521023.0,0.2546,-18.94999999999999,24.30000000000001,-0.0549501151189562,316.90999999999997,310.9375,8.732107646345261,325.75,7214216.0
2002-03-01,RELIANCE,EQ,307.85,308.0,324.7,305.25,322.55,322.3,319.5,4515666,144277253980000.0,1683678.0,0.3729,14.300000000000011,19.44999999999999,0.04693844404742564,318.39000000000004,312.02,8.731618286132875,307.85,5975319.0
2002-03-04,RELIANCE,EQ,322.3,334.0,340.0,312.0,313.9,313.65,322.69,11341344,365971014815000.0,3441343.0,0.3034,-20.350000000000023,28.0,-0.02683834936394669,318.18,312.5625,8.461505325201557,322.3,4515666.0
